VBELN,POSNR,MATNR,KWMENG,VRKME,NETWR,WAERK,WERKS,LGORT,RECORD_SOURCE,LOAD_DATE
10000001,000010,000000000010000052,39.746,EA,9810.59,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000001,000020,000000000010000097,37.832,PAL,145073.36,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000001,000030,000000000010000061,104.954,EA,27075.83,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000001,000040,000000000010000001,26.148,EA,7073.67,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000001,000050,000000000010000021,44.880,EA,9435.08,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000001,000060,000000000010000059,12.122,ST,4921.63,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000001,000070,000000000010000010,89.993,EA,12794.96,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000002,000010,000000000010000043,61.847,ST,29518.60,NGN,1000,0001,SAP,2025-01-01 00:00:00
10000002,000020,000000000010000070,143.842,EA,31322.40,NGN,1000,0001,SAP,2025-01-01 00:00:00
10000002,000030,000000000010000054,87.802,ST,42916.23,NGN,1000,0001,SAP,2025-01-01 00:00:00
10000002,000040,000000000010000096,246.990,KG,21006.35,NGN,1000,0001,SAP,2025-01-01 00:00:00
10000002,000050,000000000010000076,47.506,KG,3799.21,NGN,1000,0001,SAP,2025-01-01 00:00:00
10000002,000060,000000000010000042,111.902,EA,19632.00,NGN,1000,0001,SAP,2025-01-01 00:00:00
10000002,000070,000000000010000067,54.926,PAL,216197.98,NGN,1000,0001,SAP,2025-01-01 00:00:00
10000002,000080,000000000010000081,39.842,EA,7658.56,NGN,1000,0001,SAP,2025-01-01 00:00:00
10000003,000010,000000000010000001,33.156,EA,8512.06,USD,1000,0001,SAP,2025-01-01 00:00:00
10000003,000020,000000000010000002,53.771,EA,14561.57,USD,1000,0001,SAP,2025-01-01 00:00:00
10000003,000030,000000000010000058,13.453,EA,2529.40,USD,1000,0001,SAP,2025-01-01 00:00:00
10000003,000040,000000000010000018,56.735,EA,12600.41,USD,1000,0001,SAP,2025-01-01 00:00:00
10000003,000050,000000000010000053,11.102,ST,4391.78,USD,1000,0001,SAP,2025-01-01 00:00:00
10000003,000060,000000000010000028,109.670,EA,31088.49,USD,1000,0001,SAP,2025-01-01 00:00:00
10000004,000010,000000000010000042,135.331,EA,25114.33,USD,1000,0001,SAP,2025-01-01 00:00:00
10000004,000020,000000000010000083,51.420,ST,21096.75,USD,1000,0001,SAP,2025-01-01 00:00:00
10000004,000030,000000000010000019,27.865,ST,14132.71,USD,1000,0001,SAP,2025-01-01 00:00:00
10000004,000040,000000000010000036,235.356,KG,20984.47,USD,1000,0001,SAP,2025-01-01 00:00:00
10000004,000050,000000000010000070,121.016,EA,23626.67,USD,1000,0001,SAP,2025-01-01 00:00:00
10000004,000060,000000000010000010,140.362,EA,17647.01,USD,1000,0001,SAP,2025-01-01 00:00:00
10000004,000070,000000000010000029,130.631,ST,48060.46,USD,1000,0001,SAP,2025-01-01 00:00:00
10000005,000010,000000000010000028,81.539,EA,20273.04,USD,1000,0001,SAP,2025-01-01 00:00:00
10000005,000020,000000000010000005,120.090,EA,25516.01,USD,1000,0001,SAP,2025-01-01 00:00:00
10000005,000030,000000000010000034,59.307,ST,30526.29,USD,1000,0001,SAP,2025-01-01 00:00:00
10000005,000040,000000000010000082,106.513,EA,33974.25,USD,1000,0001,SAP,2025-01-01 00:00:00
10000005,000050,000000000010000042,109.430,EA,18312.45,USD,1000,0001,SAP,2025-01-01 00:00:00
10000005,000060,000000000010000088,39.826,EA,9330.22,USD,1000,0001,SAP,2025-01-01 00:00:00
10000005,000070,000000000010000040,14.077,EA,3132.76,USD,1000,0001,SAP,2025-01-01 00:00:00
10000005,000080,000000000010000056,296.063,KG,20759.52,USD,1000,0001,SAP,2025-01-01 00:00:00
10000006,000010,000000000010000059,55.566,ST,23468.71,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000006,000020,000000000010000017,32.024,PAL,108748.81,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000006,000030,000000000010000005,122.550,EA,27308.44,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000006,000040,000000000010000074,84.411,ST,44359.96,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000006,000050,000000000010000063,19.252,ST,11438.85,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000006,000060,000000000010000083,135.222,ST,52769.95,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000006,000070,000000000010000099,45.310,ST,19466.87,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000006,000080,000000000010000040,107.415,EA,21267.30,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000007,000010,000000000010000014,61.328,ST,20098.37,USD,1000,0001,SAP,2025-01-01 00:00:00
10000007,000020,000000000010000088,17.316,EA,4831.19,USD,1000,0001,SAP,2025-01-01 00:00:00
10000007,000030,000000000010000058,1.383,EA,273.82,USD,1000,0001,SAP,2025-01-01 00:00:00
10000007,000040,000000000010000099,110.445,ST,46405.65,USD,1000,0001,SAP,2025-01-01 00:00:00
10000007,000050,000000000010000057,90.088,PAL,374551.01,USD,1000,0001,SAP,2025-01-01 00:00:00
10000007,000060,000000000010000095,118.763,EA,11862.40,USD,1000,0001,SAP,2025-01-01 00:00:00
10000008,000010,000000000010000092,134.236,EA,23117.76,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000008,000020,000000000010000094,98.051,ST,53879.30,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000008,000030,000000000010000066,122.443,KG,8295.36,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000008,000040,000000000010000080,48.279,EA,7668.76,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000008,000050,000000000010000077,51.727,PAL,233555.31,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000008,000060,000000000010000009,41.049,ST,19935.79,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000008,000070,000000000010000084,122.331,ST,69136.80,EUR,1000,0001,SAP,2025-01-01 00:00:00
10000009,000010,000000000010000059,38.166,ST,15865.22,COP,1000,0001,SAP,2025-01-01 00:00:00
10000009,000020,000000000010000015,64.622,EA,7804.00,COP,1000,0001,SAP,2025-01-01 00:00:00
10000009,000030,000000000010000024,87.334,ST,36054.92,COP,1000,0001,SAP,2025-01-01 00:00:00
10000009,000040,000000000010000084,14.297,ST,7201.44,COP,1000,0001,SAP,2025-01-01 00:00:00
10000009,000050,000000000010000003,117.760,ST,58226.59,COP,1000,0001,SAP,2025-01-01 00:00:00
10000009,000060,000000000010000085,4.764,EA,561.72,COP,1000,0001,SAP,2025-01-01 00:00:00
10000009,000070,000000000010000068,65.661,EA,15371.09,COP,1000,0001,SAP,2025-01-01 00:00:00
10000009,000080,000000000010000074,37.563,ST,23444.66,COP,1000,0001,SAP,2025-01-01 00:00:00
10000009,000090,000000000010000043,135.946,ST,59673.51,COP,1000,0001,SAP,2025-01-01 00:00:00
